CustomerID,Name,Region,JoinDate
1,Customer_1,North,2015-04-13
2,Customer_2,East,2017-09-30
3,Customer_3,South,2016-07-25
4,Customer_4,North,2022-08-03
5,Customer_5,North,2021-08-15
6,Customer_6,West,2015-05-11
7,Customer_7,North,2016-01-19
8,Customer_8,South,2017-08-10
9,Customer_9,North,2021-04-17
10,Customer_10,South,2023-01-11
11,Customer_11,West,2017-06-21
12,Customer_12,West,2021-08-10
13,Customer_13,East,2024-01-29
14,Customer_14,North,2023-07-06
15,Customer_15,South,2022-10-30
16,Customer_16,West,2018-10-25
17,Customer_17,East,2016-09-28
18,Customer_18,South,2023-07-25
19,Customer_19,East,2016-02-23
20,Customer_20,North,2019-04-06
21,Customer_21,North,2019-01-10
22,Customer_22,East,2021-10-08
23,Customer_23,East,2024-01-19
24,Customer_24,North,2023-03-08
25,Customer_25,West,2021-01-05
26,Customer_26,North,2019-03-31
27,Customer_27,North,2021-03-11
28,Customer_28,East,2024-04-20
29,Customer_29,East,2021-06-22
30,Customer_30,South,2022-11-25
31,Customer_31,North,2015-07-07
32,Customer_32,South,2023-09-02
33,Customer_33,East,2015-11-23
34,Customer_34,South,2016-02-18
35,Customer_35,West,2018-02-12
36,Customer_36,West,2022-02-16
37,Customer_37,East,2016-10-28
38,Customer_38,East,2018-12-26
39,Customer_39,South,2022-07-08
40,Customer_40,East,2022-11-14
41,Customer_41,North,2021-10-31
42,Customer_42,South,2020-12-27
43,Customer_43,South,2016-10-31
44,Customer_44,West,2019-04-04
45,Customer_45,East,2022-03-06
46,Customer_46,South,2022-09-05
47,Customer_47,East,2024-06-14
48,Customer_48,North,2017-07-27
49,Customer_49,North,2024-01-11
50,Customer_50,East,2019-07-02
51,Customer_51,East,2015-09-29
52,Customer_52,South,2021-05-12
53,Customer_53,East,2017-05-20
54,Customer_54,West,2019-06-09
55,Customer_55,West,2016-08-08
56,Customer_56,East,2016-07-25
57,Customer_57,South,2023-05-10
58,Customer_58,East,2023-05-18
59,Customer_59,West,2021-07-18
60,Customer_60,West,2019-01-22
61,Customer_61,South,2016-07-20
62,Customer_62,West,2016-01-08
63,Customer_63,North,2016-03-25
64,Customer_64,South,2022-01-14
65,Customer_65,South,2023-11-19
66,Customer_66,West,2021-09-08
67,Customer_67,North,2019-04-26
68,Customer_68,West,2021-09-06
69,Customer_69,West,2020-12-07
70,Customer_70,East,2021-03-16
71,Customer_71,North,2022-08-18
72,Customer_72,North,2022-08-24
73,Customer_73,East,2023-08-15
74,Customer_74,East,2016-04-01
75,Customer_75,East,2019-11-16
76,Customer_76,South,2020-02-02
77,Customer_77,North,2023-02-05
78,Customer_78,East,2020-08-12
79,Customer_79,South,2020-09-10
80,Customer_80,North,2022-01-05
81,Customer_81,East,2024-06-09
82,Customer_82,South,2016-09-18
83,Customer_83,East,2023-07-21
84,Customer_84,South,2021-01-18
85,Customer_85,North,2021-09-19
86,Customer_86,East,2020-06-24
87,Customer_87,North,2016-04-03
88,Customer_88,East,2024-04-29
89,Customer_89,East,2017-09-07
90,Customer_90,North,2017-09-13
91,Customer_91,North,2015-12-17
92,Customer_92,West,2024-02-25
93,Customer_93,North,2023-07-13
94,Customer_94,South,2016-06-09
95,Customer_95,West,2021-03-01
96,Customer_96,South,2017-12-21
97,Customer_97,West,2017-05-17
98,Customer_98,South,2022-12-30
99,Customer_99,East,2019-06-23
100,Customer_100,East,2019-11-30
101,Customer_101,West,2016-05-10
102,Customer_102,South,2017-07-09
103,Customer_103,North,2018-10-16
104,Customer_104,North,2021-08-06
105,Customer_105,South,2021-08-07
106,Customer_106,South,2015-01-30
107,Customer_107,North,2022-12-09
108,Customer_108,North,2017-07-26
109,Customer_109,North,2015-05-09
110,Customer_110,East,2015-10-18
111,Customer_111,South,2018-02-14
112,Customer_112,West,2017-05-27
113,Customer_113,South,2023-02-10
114,Customer_114,West,2017-09-22
115,Customer_115,West,2024-01-21
116,Customer_116,West,2017-02-18
117,Customer_117,North,2016-02-02
118,Customer_118,West,2018-12-22
119,Customer_119,West,2019-08-11
120,Customer_120,West,2023-03-06
121,Customer_121,North,2022-07-21
122,Customer_122,North,2015-09-06
123,Customer_123,West,2023-03-02
124,Customer_124,East,2023-12-24
