OrderID,CustomerID,ProductID,OrderDate,Quantity,TotalAmount
1,393,36,2019-08-16,5,6348.5
2,168,31,2020-10-15,1,1306.68
3,383,111,2018-09-22,3,650.16
4,195,137,2020-10-21,4,3659.88
5,287,172,2018-05-28,6,1484.82
6,204,190,2020-06-12,1,897.36
7,10,118,2022-11-01,2,240.3
8,161,148,2021-03-20,7,8793.05
9,208,182,2019-08-16,7,1411.76
10,59,104,2023-06-02,1,1182.93
11,167,44,2020-07-31,10,8727.6
12,426,177,2018-06-30,6,8468.04
13,224,28,2020-06-11,4,3327.04
14,302,103,2018-06-11,9,12128.04
15,203,80,2019-03-30,6,10978.92
16,171,200,2018-06-06,3,5675.22
17,262,163,2020-12-22,2,2362.4
18,262,50,2019-12-21,6,2878.38
19,373,166,2019-04-29,3,5216.46
20,53,38,2019-02-09,5,4396.3
21,89,155,2022-04-06,3,2428.47
22,389,168,2018-12-29,2,1432.52
23,488,198,2020-08-08,8,15753.6
24,387,145,2020-07-08,10,1655.1
25,349,145,2019-10-24,10,1655.1
26,443,161,2018-11-06,6,8965.74
27,226,18,2020-06-24,8,9217.28
28,324,78,2021-04-26,5,5355.45
29,29,91,2018-06-01,9,10596.87
30,159,119,2018-03-19,8,4018.16
31,30,95,2018-06-07,5,6511.75
32,331,24,2021-05-01,10,2699.7
33,260,99,2021-04-03,8,4981.12
34,284,190,2020-07-10,1,897.36
35,466,147,2019-10-21,4,600.2
36,310,122,2018-11-05,9,10629.36
37,491,16,2018-07-31,8,7372.64
38,416,88,2020-10-30,2,397.6
39,331,45,2019-05-23,1,1071.71
40,363,113,2020-12-09,8,1119.12
41,268,157,2020-01-16,3,4010.73
42,191,73,2020-04-17,7,602.42
43,397,87,2018-04-18,10,19351.9
44,405,162,2018-05-15,6,9763.8
45,169,25,2021-10-21,9,15678.09
46,198,73,2022-01-22,5,430.3
47,437,169,2022-11-24,10,3263.7
48,77,86,2021-04-08,2,3446.16
49,340,37,2019-09-28,6,11969.4
50,496,168,2018-09-22,7,5013.82
51,305,182,2019-09-27,2,403.36
52,287,97,2022-07-24,6,7832.94
53,66,172,2018-07-11,9,2227.23
54,331,172,2020-11-07,7,1732.29
55,186,5,2019-09-25,6,11765.28
56,93,55,2023-04-25,6,11853.3
57,393,125,2019-04-09,4,2276.0
58,71,40,2019-08-29,2,1796.96
59,433,26,2022-04-28,9,1956.87
60,277,190,2018-03-19,9,8076.24
61,339,87,2018-09-26,10,19351.9
62,306,97,2018-11-29,3,3916.47
63,93,178,2022-07-15,10,18446.4
64,463,43,2018-03-31,8,4806.96
65,211,94,2023-06-09,4,7328.84
66,228,157,2022-03-21,5,6684.55
67,384,115,2020-12-29,4,7596.16
68,123,80,2023-01-26,8,14638.56
69,428,50,2021-10-21,6,2878.38
70,485,147,2020-08-03,8,1200.4
71,394,73,2020-10-26,7,602.42
72,271,108,2022-07-31,3,254.34
73,103,155,2022-11-23,3,2428.47
74,129,14,2022-11-26,8,8691.12
75,191,142,2021-12-27,2,3395.3
76,434,133,2019-08-07,2,541.96
77,43,196,2019-07-13,3,3189.99
78,231,132,2022-08-29,3,1095.03
79,224,24,2022-07-31,4,1079.88
80,231,90,2020-04-29,1,920.48
81,28,102,2020-02-05,9,7105.68
82,121,99,2020-02-07,2,1245.28
83,115,8,2023-03-22,6,10384.62
84,51,183,2022-06-09,6,4589.16
85,75,36,2019-08-11,1,1269.7
86,470,121,2022-04-04,3,467.55
87,362,121,2021-06-14,8,1246.8
88,3,21,2019-06-09,1,1416.35
89,111,39,2023-04-10,9,13729.77
90,373,156,2020-05-16,9,5749.65
91,57,199,2019-05-02,5,176.1
92,155,32,2019-05-04,1,1707.64
93,215,164,2020-07-25,10,13466.3
94,33,29,2021-05-07,8,1345.28
95,275,5,2021-03-23,9,17647.92
96,124,184,2019-08-20,3,2084.91
97,220,1,2019-12-24,10,13024.7
98,124,147,2019-01-19,7,1050.35
99,341,172,2020-12-08,2,494.94
100,500,93,2023-05-07,2,1907.04
101,270,140,2022-05-30,9,8342.28
102,260,142,2020-03-10,1,1697.65
103,448,121,2021-07-25,1,155.85
104,199,96,2022-03-11,5,9102.95
105,9,92,2019-12-08,2,469.06
106,124,188,2022-04-30,2,663.34
107,298,189,2018-10-01,6,8126.76
108,23,91,2019-11-25,9,10596.87
109,417,165,2022-08-28,3,2160.36
110,399,176,2021-11-25,8,618.64
111,246,162,2022-07-20,3,4881.9
112,70,17,2018-03-17,8,13934.48
113,151,52,2022-06-09,1,1799.84
114,103,11,2023-03-27,6,9868.14
115,159,132,2022-07-28,7,2555.07
116,279,122,2018-03-16,5,5905.2
117,386,166,2019-08-09,4,6955.28
118,183,200,2022-11-09,1,1891.74
119,336,85,2018-09-12,5,7566.1
120,410,95,2022-12-27,7,9116.45
121,205,191,2023-01-07,8,7852.88
122,490,99,2023-06-18,6,3735.84
123,96,128,2020-01-23,8,10631.12
124,474,133,2022-06-29,5,1354.9
125,43,187,2018-06-11,7,12383.14
126,221,155,2021-01-22,3,2428.47
